State,Date,Daily_New_Cases,Curve_Day,Pop_Pct,Pop_Pct_M1,Pop_Pct_M2,Pop_Pct_M3,Pop_Pct_M4,Pop_Pct_M5,Pop_Pct_M6,Pop_Pct_M7,Three_Day_Avg_Pop_Pct,Seven_Day_Avg_Pop_Pct,Pct_Change,Pct_Change_M1,Pct_Change_M2,Pct_Change_M3,Pct_Change_M4,Pct_Change_M5,Pct_Change_M6,Pct_Change_M7,Three_Day_Avg_Pct_Chg,Seven_Day_Avg_Pct_Chg
TX,6/19/2020,4497,1,0.0001504,0.00011,0.00012,0.00015,0.00007,0.00004,0.00008,0.00007,0.0001267,0.0001028,0.00003813,-0.0000052,-0.0000302,0.0000761,0.0000267,-0.0000309,0.0000026,0.0000054,0.00000094,0.00001105
TX,6/20/2020,4250,2,0.0001421,0.0001504,0.00011,0.00012,0.00015,0.00007,0.00004,0.00008,0.0001349,0.0001123,-0.00000826,0.00003813,-0.0000052,-0.0000302,0.0000761,0.0000267,-0.0000309,0.0000026,0.00000824,0.0000095
TX,6/21/2020,3125,3,0.0001045,0.0001421,0.0001504,0.00011,0.00012,0.00015,0.00007,0.00004,0.0001324,0.0001208,-0.00003763,-0.00000826,0.00003813,-0.0000052,-0.0000302,0.0000761,0.0000267,-0.0000309,-0.00000259,0.00000853
TX,6/22/2020,5112,4,0.000171,0.0001045,0.0001421,0.0001504,0.00011,0.00012,0.00015,0.00007,0.0001392,0.000135,0.00006645,-0.00003763,-0.00000826,0.00003813,-0.0000052,-0.0000302,0.0000761,0.0000267,0.00000686,0.00001421
TX,6/23/2020,5370,5,0.0001796,0.000171,0.0001045,0.0001421,0.0001504,0.00011,0.00012,0.00015,0.0001517,0.0001396,0.00000863,0.00006645,-0.00003763,-0.00000826,0.00003813,-0.0000052,-0.0000302,0.0000761,0.00001249,0.00000457
TX,6/24/2020,6177,6,0.0002066,0.0001796,0.000171,0.0001045,0.0001421,0.0001504,0.00011,0.00012,0.0001857,0.0001524,0.00002699,0.00000863,0.00006645,-0.00003763,-0.00000826,0.00003813,-0.0000052,-0.0000302,0.00003402,0.00001274
TX,6/25/2020,5960,7,0.0001993,0.0002066,0.0001796,0.000171,0.0001045,0.0001421,0.0001504,0.00011,0.0001952,0.0001648,-0.00000726,0.00002699,0.00000863,0.00006645,-0.00003763,-0.00000826,0.00003813,-0.0000052,0.00000945,0.00001244
TX,6/26/2020,5614,8,0.0001878,0.0001993,0.0002066,0.0001796,0.000171,0.0001045,0.0001421,0.0001504,0.0001979,0.0001701,-0.00001157,-0.00000726,0.00002699,0.00000863,0.00006645,-0.00003763,-0.00000826,0.00003813,0.00000272,0.00000534
TX,6/27/2020,6079,9,0.0002033,0.0001878,0.0001993,0.0002066,0.0001796,0.000171,0.0001045,0.0001421,0.0001968,0.0001789,0.00001555,-0.00001157,-0.00000726,0.00002699,0.00000863,0.00006645,-0.00003763,-0.00000826,-0.00000109,0.00000874
TX,6/28/2020,4330,10,0.0001448,0.0002033,0.0001878,0.0001993,0.0002066,0.0001796,0.000171,0.0001045,0.0001786,0.0001846,-0.00005849,0.00001555,-0.00001157,-0.00000726,0.00002699,0.00000863,0.00006645,-0.00003763,-0.00001817,0.00000576
TX,6/29/2020,6135,11,0.0002052,0.0001448,0.0002033,0.0001878,0.0001993,0.0002066,0.0001796,0.000171,0.0001844,0.0001895,0.00006037,-0.00005849,0.00001555,-0.00001157,-0.00000726,0.00002699,0.00000863,0.00006645,0.00000581,0.00000489
TX,6/30/2020,7959,12,0.0002662,0.0002052,0.0001448,0.0002033,0.0001878,0.0001993,0.0002066,0.0001796,0.0002054,0.0002019,0.000061,0.00006037,-0.00005849,0.00001555,-0.00001157,-0.00000726,0.00002699,0.00000863,0.00002096,0.00001237
TX,7/1/2020,8240,13,0.0002756,0.0002662,0.0002052,0.0001448,0.0002033,0.0001878,0.0001993,0.0002066,0.000249,0.0002117,0.0000094,0.000061,0.00006037,-0.00005849,0.00001555,-0.00001157,-0.00000726,0.00002699,0.00004359,0.00000986
TX,7/2/2020,7535,14,0.000252,0.0002756,0.0002662,0.0002052,0.0001448,0.0002033,0.0001878,0.0001993,0.0002646,0.0002193,-0.00002358,0.0000094,0.000061,0.00006037,-0.00005849,0.00001555,-0.00001157,-0.00000726,0.00001561,0.00000753
TX,7/3/2020,7343,15,0.0002456,0.000252,0.0002756,0.0002662,0.0002052,0.0001448,0.0002033,0.0001878,0.0002577,0.0002275,-0.00000642,-0.00002358,0.0000094,0.000061,0.00006037,-0.00005849,0.00001555,-0.00001157,-0.00000687,0.00000826
TX,7/4/2020,5382,16,0.00018,0.0002456,0.000252,0.0002756,0.0002662,0.0002052,0.0001448,0.0002033,0.0002259,0.0002242,-0.00006559,-0.00000642,-0.00002358,0.0000094,0.000061,0.00006037,-0.00005849,0.00001555,-0.00003186,-0.00000333
TX,7/5/2020,5183,17,0.0001733,0.00018,0.0002456,0.000252,0.0002756,0.0002662,0.0002052,0.0001448,0.0001996,0.0002283,-0.00000666,-0.00006559,-0.00000642,-0.00002358,0.0000094,0.000061,0.00006037,-0.00005849,-0.00002622,0.00000408
TX,7/6/2020,9054,18,0.0003028,0.0001733,0.00018,0.0002456,0.000252,0.0002756,0.0002662,0.0002052,0.0002187,0.0002422,0.00012946,-0.00000666,-0.00006559,-0.00000642,-0.00002358,0.0000094,0.000061,0.00006037,0.00001907,0.00001395
NY,3/20/2020,3052,1,0.00016231,0.000124495,0.000071368,0.00003946,0.000012497,0.000011274,0.00000569,0.000004946,0.00012,0.00006,0.00003781,0.000053127,0.000031908,0.000026962,0.000001223,0.000005584,0.000000745,0,0.00004,0.00002
NY,3/21/2020,1993,2,0.00010599,0.00016231,0.000124495,0.000071368,0.00003946,0.000012497,0.000011274,0.00000569,0.00013,0.00008,-0.00005632,0.00003781,0.000053127,0.000031908,0.000026962,0.000001223,0.000005584,0.000000745,0.00001,0.00001
NY,3/22/2020,5440,3,0.0002893,0.00010599,0.00016231,0.000124495,0.000071368,0.00003946,0.000012497,0.000011274,0.00019,0.00012,0.00018331,-0.00005632,0.00003781,0.000053127,0.000031908,0.000026962,0.000001223,0.000005584,0.00005,0.00004
NY,3/23/2020,5123,4,0.00027244,0.0002893,0.00010599,0.00016231,0.000124495,0.000071368,0.00003946,0.000012497,0.00022,0.00015,-0.00001686,0.00018331,-0.00005632,0.00003781,0.000053127,0.000031908,0.000026962,0.000001223,0.00004,0.00004
NY,3/24/2020,5516,5,0.00029334,0.00027244,0.0002893,0.00010599,0.00016231,0.000124495,0.000071368,0.00003946,0.00029,0.00019,0.0000209,-0.00001686,0.00018331,-0.00005632,0.00003781,0.000053127,0.000031908,0.000026962,0.00006,0.00004
NY,3/25/2020,6674,6,0.00035492,0.00029334,0.00027244,0.0002893,0.00010599,0.00016231,0.000124495,0.000071368,0.00031,0.00023,0.00006158,0.0000209,-0.00001686,0.00018331,-0.00005632,0.00003781,0.000053127,0.000031908,0.00002,0.00004
NY,3/26/2020,6097,7,0.00032424,0.00035492,0.00029334,0.00027244,0.0002893,0.00010599,0.00016231,0.000124495,0.00032,0.00026,-0.00003068,0.00006158,0.0000209,-0.00001686,0.00018331,-0.00005632,0.00003781,0.000053127,0.00002,0.00003
NY,3/27/2020,7380,8,0.00039247,0.00032424,0.00035492,0.00029334,0.00027244,0.0002893,0.00010599,0.00016231,0.00036,0.00029,0.00006823,-0.00003068,0.00006158,0.0000209,-0.00001686,0.00018331,-0.00005632,0.00003781,0.00003,0.00003
NY,3/28/2020,7250,9,0.00038556,0.00039247,0.00032424,0.00035492,0.00029334,0.00027244,0.0002893,0.00010599,0.00037,0.00033,-0.00000691,0.00006823,-0.00003068,0.00006158,0.0000209,-0.00001686,0.00018331,-0.00005632,0.00001,0.00004
NY,3/29/2020,7413,10,0.00039422,0.00038556,0.00039247,0.00032424,0.00035492,0.00029334,0.00027244,0.0002893,0.00039,0.00035,0.00000867,-0.00000691,0.00006823,-0.00003068,0.00006158,0.0000209,-0.00001686,0.00018331,0.00002,0.00001
NY,3/30/2020,6785,11,0.00036083,0.00039422,0.00038556,0.00039247,0.00032424,0.00035492,0.00029334,0.00027244,0.00038,0.00036,-0.0000334,0.00000867,-0.00000691,0.00006823,-0.00003068,0.00006158,0.0000209,-0.00001686,-0.00001,0.00001
NY,3/31/2020,8823,12,0.00046921,0.00036083,0.00039422,0.00038556,0.00039247,0.00032424,0.00035492,0.00029334,0.00041,0.00038,0.00010838,-0.0000334,0.00000867,-0.00000691,0.00006823,-0.00003068,0.00006158,0.0000209,0.00003,0.00003
NY,4/1/2020,8104,13,0.00043097,0.00046921,0.00036083,0.00039422,0.00038556,0.00039247,0.00032424,0.00035492,0.00042,0.00039,-0.00003824,0.00010838,-0.0000334,0.00000867,-0.00000691,0.00006823,-0.00003068,0.00006158,0.00001,0.00001
NY,4/2/2020,9353,14,0.00049739,0.00043097,0.00046921,0.00036083,0.00039422,0.00038556,0.00039247,0.00032424,0.00047,0.00042,0.00006642,-0.00003824,0.00010838,-0.0000334,0.00000867,-0.00000691,0.00006823,-0.00003068,0.00005,0.00002
NY,4/3/2020,10628,15,0.0005652,0.00049739,0.00043097,0.00046921,0.00036083,0.00039422,0.00038556,0.00039247,0.0005,0.00044,0.0000678,0.00006642,-0.00003824,0.00010838,-0.0000334,0.00000867,-0.00000691,0.00006823,0.00003,0.00002
NY,4/4/2020,11506,16,0.00061189,0.0005652,0.00049739,0.00043097,0.00046921,0.00036083,0.00039422,0.00038556,0.00056,0.00048,0.00004669,0.0000678,0.00006642,-0.00003824,0.00010838,-0.0000334,0.00000867,-0.00000691,0.00006,0.00003
NY,4/5/2020,8477,17,0.00045081,0.00061189,0.0005652,0.00049739,0.00043097,0.00046921,0.00036083,0.00039422,0.00054,0.00048,-0.00016108,0.00004669,0.0000678,0.00006642,-0.00003824,0.00010838,-0.0000334,0.00000867,-0.00002,0.00001
NY,4/6/2020,9135,18,0.0004858,0.00045081,0.00061189,0.0005652,0.00049739,0.00043097,0.00046921,0.00036083,0.00052,0.0005,0.00003499,-0.00016108,0.00004669,0.0000678,0.00006642,-0.00003824,0.00010838,-0.0000334,-0.00003,0.00002
NY,4/7/2020,10714,19,0.00056977,0.0004858,0.00045081,0.00061189,0.0005652,0.00049739,0.00043097,0.00046921,0.0005,0.00052,0.00008397,0.00003499,-0.00016108,0.00004669,0.0000678,0.00006642,-0.00003824,0.00010838,-0.00001,0.00001
NY,4/8/2020,9000,20,0.00047862,0.00056977,0.0004858,0.00045081,0.00061189,0.0005652,0.00049739,0.00043097,0.00051,0.00052,-0.00009115,0.00008397,0.00003499,-0.00016108,0.00004669,0.0000678,0.00006642,-0.00003824,0.00001,0.00001
NY,4/9/2020,10533,21,0.00056015,0.00047862,0.00056977,0.0004858,0.00045081,0.00061189,0.0005652,0.00049739,0.00054,0.00053,0.00008153,-0.00009115,0.00008397,0.00003499,-0.00016108,0.00004669,0.0000678,0.00006642,0.00002,0.00001
NY,4/10/2020,11045,22,0.00058738,0.00056015,0.00047862,0.00056977,0.0004858,0.00045081,0.00061189,0.0005652,0.00054,0.00053,0.00002723,0.00008153,-0.00009115,0.00008397,0.00003499,-0.00016108,0.00004669,0.0000678,0.00001,0
NY,4/11/2020,8969,23,0.00047697,0.00058738,0.00056015,0.00047862,0.00056977,0.0004858,0.00045081,0.00061189,0.00054,0.00052,-0.0001104,0.00002723,0.00008153,-0.00009115,0.00008397,0.00003499,-0.00016108,0.00004669,0,-0.00002
NY,4/12/2020,8458,24,0.0004498,0.00047697,0.00058738,0.00056015,0.00047862,0.00056977,0.0004858,0.00045081,0.0005,0.00052,-0.00002718,-0.0001104,0.00002723,0.00008153,-0.00009115,0.00008397,0.00003499,-0.00016108,-0.00004,0
NY,4/13/2020,6419,25,0.00034136,0.0004498,0.00047697,0.00058738,0.00056015,0.00047862,0.00056977,0.0004858,0.00042,0.00049,-0.00010843,-0.00002718,-0.0001104,0.00002723,0.00008153,-0.00009115,0.00008397,0.00003499,-0.00008,-0.00002
NY,4/14/2020,7614,26,0.00040491,0.00034136,0.0004498,0.00047697,0.00058738,0.00056015,0.00047862,0.00056977,0.0004,0.00047,0.00006355,-0.00010843,-0.00002718,-0.0001104,0.00002723,0.00008153,-0.00009115,0.00008397,-0.00002,-0.00002
NY,4/15/2020,11661,27,0.00062013,0.00040491,0.00034136,0.0004498,0.00047697,0.00058738,0.00056015,0.00047862,0.00046,0.00049,0.00021522,0.00006355,-0.00010843,-0.00002718,-0.0001104,0.00002723,0.00008153,-0.00009115,0.00006,0.00002
NY,4/16/2020,7636,28,0.00040608,0.00062013,0.00040491,0.00034136,0.0004498,0.00047697,0.00058738,0.00056015,0.00048,0.00047,-0.00021405,0.00021522,0.00006355,-0.00010843,-0.00002718,-0.0001104,0.00002723,0.00008153,0.00002,-0.00002
NY,4/17/2020,7753,29,0.00041231,0.00040608,0.00062013,0.00040491,0.00034136,0.0004498,0.00047697,0.00058738,0.00048,0.00044,0.00000622,-0.00021405,0.00021522,0.00006355,-0.00010843,-0.00002718,-0.0001104,0.00002723,0,-0.00003
NY,4/18/2020,7090,30,0.00037705,0.00041231,0.00040608,0.00062013,0.00040491,0.00034136,0.0004498,0.00047697,0.0004,0.00043,-0.00003526,0.00000622,-0.00021405,0.00021522,0.00006355,-0.00010843,-0.00002718,-0.0001104,-0.00008,-0.00001
NY,4/19/2020,6174,31,0.00032833,0.00037705,0.00041231,0.00040608,0.00062013,0.00040491,0.00034136,0.0004498,0.00037,0.00041,-0.00004871,-0.00003526,0.00000622,-0.00021405,0.00021522,0.00006355,-0.00010843,-0.00002718,-0.00003,-0.00002
NY,4/20/2020,4879,32,0.00025947,0.00032833,0.00037705,0.00041231,0.00040608,0.00062013,0.00040491,0.00034136,0.00032,0.0004,-0.00006887,-0.00004871,-0.00003526,0.00000622,-0.00021405,0.00021522,0.00006355,-0.00010843,-0.00005,-0.00001
NY,4/21/2020,4461,33,0.00023724,0.00025947,0.00032833,0.00037705,0.00041231,0.00040608,0.00062013,0.00040491,0.00028,0.00038,-0.00002223,-0.00006887,-0.00004871,-0.00003526,0.00000622,-0.00021405,0.00021522,0.00006355,-0.00005,-0.00002
NY,4/22/2020,5713,34,0.00030382,0.00023724,0.00025947,0.00032833,0.00037705,0.00041231,0.00040608,0.00062013,0.00027,0.00033,0.00006658,-0.00002223,-0.00006887,-0.00004871,-0.00003526,0.00000622,-0.00021405,0.00021522,-0.00001,-0.00005
NY,4/23/2020,6313,35,0.00033573,0.00030382,0.00023724,0.00025947,0.00032833,0.00037705,0.00041231,0.00040608,0.00029,0.00032,0.00003191,0.00006658,-0.00002223,-0.00006887,-0.00004871,-0.00003526,0.00000622,-0.00021405,0.00003,-0.00001
NY,4/24/2020,8864,36,0.00047139,0.00033573,0.00030382,0.00023724,0.00025947,0.00032833,0.00037705,0.00041231,0.00037,0.00033,0.00013566,0.00003191,0.00006658,-0.00002223,-0.00006887,-0.00004871,-0.00003526,0.00000622,0.00008,0.00001
NY,4/25/2020,10868,37,0.00057796,0.00047139,0.00033573,0.00030382,0.00023724,0.00025947,0.00032833,0.00037705,0.00046,0.00036,0.00010657,0.00013566,0.00003191,0.00006658,-0.00002223,-0.00006887,-0.00004871,-0.00003526,0.00009,0.00003
NY,4/26/2020,5678,38,0.00030196,0.00057796,0.00047139,0.00033573,0.00030382,0.00023724,0.00025947,0.00032833,0.00045,0.00036,-0.00027601,0.00010657,0.00013566,0.00003191,0.00006658,-0.00002223,-0.00006887,-0.00004871,-0.00001,0
NY,4/27/2020,4013,39,0.00021341,0.00030196,0.00057796,0.00047139,0.00033573,0.00030382,0.00023724,0.00025947,0.00036,0.00035,-0.00008854,-0.00027601,0.00010657,0.00013566,0.00003191,0.00006658,-0.00002223,-0.00006887,-0.00009,-0.00001
NY,4/28/2020,3446,40,0.00018326,0.00021341,0.00030196,0.00057796,0.00047139,0.00033573,0.00030382,0.00023724,0.00023,0.00034,-0.00003015,-0.00008854,-0.00027601,0.00010657,0.00013566,0.00003191,0.00006658,-0.00002223,-0.00013,-0.00001
NY,4/29/2020,4708,41,0.00025037,0.00018326,0.00021341,0.00030196,0.00057796,0.00047139,0.00033573,0.00030382,0.00022,0.00033,0.00006711,-0.00003015,-0.00008854,-0.00027601,0.00010657,0.00013566,0.00003191,0.00006658,-0.00002,-0.00001
NY,4/30/2020,4681,42,0.00024894,0.00025037,0.00018326,0.00021341,0.00030196,0.00057796,0.00047139,0.00033573,0.00023,0.00032,-0.00000144,0.00006711,-0.00003015,-0.00008854,-0.00027601,0.00010657,0.00013566,0.00003191,0.00001,-0.00001
