NJ Date,Curve_Day,NJ New Cases,NJ New Cases_m1_days,NJ New Cases_m2_days,NJ New Cases_m3_days,NJ New Cases_m4_days,NJ New Cases_m5_days,NJ New Cases_m6_days,NJ New Cases_m7_days,NJ Pop Pct,NJ_Pop_Pct_m1,NJ_Pop_Pct_m2,NJ_Pop_Pct_m3,NJ_Pop_Pct_m4,NJ_Pop_Pct_m5,NJ_Pop_Pct_m6,NJ_Pop_Pct_m7,NJ 3Day Avg Pop Pct,NJ 7Day Avg Pop Pct,NJ Pct Change,NJ_Pct_Change_m1,NJ_Pct_Change_m2,NJ_Pct_Change_m3,NJ_Pct_Change_m4,NJ_Pct_Change_m5,NJ_Pct_Change_m6,NJ_Pct_Change_m7,NJ 3Day Avg Pct Chg,NJ 7Day Avg Pct Chg
3/26/2020,1,2447,721,823,920,581,432,146,312,0.00026477,0.00007801,0.00008905,0.00009955,0.00006287,0.00004674,0.0000158,0.00003376,0.00014395,0.00009383,0.00018676,-0.000011037,-0.000010496,0.000036681,0.000016122,0.000030946,-0.000017962,0.000016663,0.00005508,0.000033
3/27/2020,2,1929,2447,721,823,920,581,432,146,0.00020872,0.00026477,0.00007801,0.00008905,0.00009955,0.00006287,0.00004674,0.0000158,0.00018384,0.00012139,-0.00005605,0.00018676,-0.000011037,-0.000010496,0.000036681,0.000016122,0.000030946,-0.000017962,0.00003989,0.00002756
3/28/2020,3,2276,1929,2447,721,823,920,581,432,0.00024627,0.00020872,0.00026477,0.00007801,0.00008905,0.00009955,0.00006287,0.00004674,0.00023992,0.00014989,0.00003755,-0.00005605,0.00018676,-0.000011037,-0.000010496,0.000036681,0.000016122,0.000030946,0.00005609,0.0000285
3/29/2020,4,2238,2276,1929,2447,721,823,920,581,0.00024216,0.00024627,0.00020872,0.00026477,0.00007801,0.00008905,0.00009955,0.00006287,0.00023238,0.00017551,-0.00000411,0.00003755,-0.00005605,0.00018676,-0.000011037,-0.000010496,0.000036681,0.000016122,-0.00000754,0.00002561
3/30/2020,5,3215,2238,2276,1929,2447,721,823,920,0.00034787,0.00024216,0.00024627,0.00020872,0.00026477,0.00007801,0.00008905,0.00009955,0.00027877,0.00021098,0.00010571,-0.00000411,0.00003755,-0.00005605,0.00018676,-0.000011037,-0.000010496,0.000036681,0.00004638,0.00003548
3/31/2020,6,2045,3215,2238,2276,1929,2447,721,823,0.00022127,0.00034787,0.00024216,0.00024627,0.00020872,0.00026477,0.00007801,0.00008905,0.00027044,0.00022987,-0.0001266,0.00010571,-0.00000411,0.00003755,-0.00005605,0.00018676,-0.000011037,-0.000010496,-0.00000833,0.00001889
4/1/2020,7,3528,2045,3215,2238,2276,1929,2447,721,0.00038174,0.00022127,0.00034787,0.00024216,0.00024627,0.00020872,0.00026477,0.00007801,0.00031696,0.00027326,0.00016046,-0.0001266,0.00010571,-0.00000411,0.00003755,-0.00005605,0.00018676,-0.000011037,0.00004653,0.00004339
4/2/2020,8,3321,3528,2045,3215,2238,2276,1929,2447,0.00035934,0.00038174,0.00022127,0.00034787,0.00024216,0.00024627,0.00020872,0.00026477,0.00032079,0.00028677,-0.0000224,0.00016046,-0.0001266,0.00010571,-0.00000411,0.00003755,-0.00005605,0.00018676,0.00000382,0.00001351
4/3/2020,9,4268,3321,3528,2045,3215,2238,2276,1929,0.00046181,0.00035934,0.00038174,0.00022127,0.00034787,0.00024216,0.00024627,0.00020872,0.00040096,0.00032292,0.00010247,-0.0000224,0.00016046,-0.0001266,0.00010571,-0.00000411,0.00003755,-0.00005605,0.00008018,0.00003616
4/4/2020,10,4206,4268,3321,3528,2045,3215,2238,2276,0.0004551,0.00046181,0.00035934,0.00038174,0.00022127,0.00034787,0.00024216,0.00024627,0.00042542,0.00035276,-0.00000671,0.00010247,-0.0000224,0.00016046,-0.0001266,0.00010571,-0.00000411,0.00003755,0.00002445,0.00002983
4/5/2020,11,3350,4206,4268,3321,3528,2045,3215,2238,0.00036248,0.0004551,0.00046181,0.00035934,0.00038174,0.00022127,0.00034787,0.00024216,0.00042646,0.00036995,-0.00009262,-0.00000671,0.00010247,-0.0000224,0.00016046,-0.0001266,0.00010571,-0.00000411,0.00000105,0.00001719
4/6/2020,12,3554,3350,4206,4268,3321,3528,2045,3215,0.00038455,0.00036248,0.0004551,0.00046181,0.00035934,0.00038174,0.00022127,0.00034787,0.00040071,0.00037519,0.00002207,-0.00009262,-0.00000671,0.00010247,-0.0000224,0.00016046,-0.0001266,0.00010571,-0.00002575,0.00000524
4/7/2020,13,3318,3554,3350,4206,4268,3321,3528,2045,0.00035902,0.00038455,0.00036248,0.0004551,0.00046181,0.00035934,0.00038174,0.00022127,0.00036868,0.00039486,-0.00002554,0.00002207,-0.00009262,-0.00000671,0.00010247,-0.0000224,0.00016046,-0.0001266,-0.00003203,0.00001968
4/8/2020,14,3022,3318,3554,3350,4206,4268,3321,3528,0.00032699,0.00035902,0.00038455,0.00036248,0.0004551,0.00046181,0.00035934,0.00038174,0.00035685,0.00038704,-0.00003203,-0.00002554,0.00002207,-0.00009262,-0.00000671,0.00010247,-0.0000224,0.00016046,-0.00001183,-0.00000782
4/9/2020,15,3574,3022,3318,3554,3350,4206,4268,3321,0.00038672,0.00032699,0.00035902,0.00038455,0.00036248,0.0004551,0.00046181,0.00035934,0.00035757,0.00039095,0.00005973,-0.00003203,-0.00002554,0.00002207,-0.00009262,-0.00000671,0.00010247,-0.0000224,0.00000072,0.00000391
4/10/2020,16,3551,3574,3022,3318,3554,3350,4206,4268,0.00038423,0.00038672,0.00032699,0.00035902,0.00038455,0.00036248,0.0004551,0.00046181,0.00036598,0.00037987,-0.00000249,0.00005973,-0.00003203,-0.00002554,0.00002207,-0.00009262,-0.00000671,0.00010247,0.0000084,-0.00001108
4/11/2020,17,3555,3551,3574,3022,3318,3554,3350,4206,0.00038466,0.00038423,0.00038672,0.00032699,0.00035902,0.00038455,0.00036248,0.0004551,0.0003852,0.00036981,0.00000043,-0.00000249,0.00005973,-0.00003203,-0.00002554,0.00002207,-0.00009262,-0.00000671,0.00001922,-0.00001006
4/12/2020,18,3687,3555,3551,3574,3022,3318,3554,3350,0.00039894,0.00038466,0.00038423,0.00038672,0.00032699,0.00035902,0.00038455,0.00036248,0.00038928,0.00037502,0.00001428,0.00000043,-0.00000249,0.00005973,-0.00003203,-0.00002554,0.00002207,-0.00009262,0.00000408,0.00000521
4/13/2020,19,2714,3687,3555,3551,3574,3022,3318,3554,0.00029366,0.00039894,0.00038466,0.00038423,0.00038672,0.00032699,0.00035902,0.00038455,0.00035909,0.00036203,-0.00010528,0.00001428,0.00000043,-0.00000249,0.00005973,-0.00003203,-0.00002554,0.00002207,-0.00003019,-0.00001298
4/14/2020,20,2440,2714,3687,3555,3551,3574,3022,3318,0.00026401,0.00029366,0.00039894,0.00038466,0.00038423,0.00038672,0.00032699,0.00035902,0.00031887,0.00034846,-0.00002965,-0.00010528,0.00001428,0.00000043,-0.00000249,0.00005973,-0.00003203,-0.00002554,-0.00004022,-0.00001357
4/15/2020,21,2229,2440,2714,3687,3555,3551,3574,3022,0.00024118,0.00026401,0.00029366,0.00039894,0.00038466,0.00038423,0.00038672,0.00032699,0.00026629,0.0003362,-0.00002283,-0.00002965,-0.00010528,0.00001428,0.00000043,-0.00000249,0.00005973,-0.00003203,-0.00005259,-0.00001226
4/16/2020,22,4284,2229,2440,2714,3687,3555,3551,3574,0.00046354,0.00024118,0.00026401,0.00029366,0.00039894,0.00038466,0.00038423,0.00038672,0.00032291,0.00034718,0.00022236,-0.00002283,-0.00002965,-0.00010528,0.00001428,0.00000043,-0.00000249,0.00005973,0.00005663,0.00001097
4/17/2020,23,3157,4284,2229,2440,2714,3687,3555,3551,0.0003416,0.00046354,0.00024118,0.00026401,0.00029366,0.00039894,0.00038466,0.00038423,0.00034877,0.00034109,-0.00012194,0.00022236,-0.00002283,-0.00002965,-0.00010528,0.00001428,0.00000043,-0.00000249,0.00002586,-0.00000609
4/18/2020,24,2949,3157,4284,2229,2440,2714,3687,3555,0.00031909,0.0003416,0.00046354,0.00024118,0.00026401,0.00029366,0.00039894,0.00038466,0.00037474,0.00033172,-0.00002251,-0.00012194,0.00022236,-0.00002283,-0.00002965,-0.00010528,0.00001428,0.00000043,0.00002597,-0.00000937
4/19/2020,25,3853,2949,3157,4284,2229,2440,2714,3687,0.00041691,0.00031909,0.0003416,0.00046354,0.00024118,0.00026401,0.00029366,0.00039894,0.0003592,0.00033429,0.00009782,-0.00002251,-0.00012194,0.00022236,-0.00002283,-0.00002965,-0.00010528,0.00001428,-0.00001555,0.00000257
4/20/2020,26,3487,3853,2949,3157,4284,2229,2440,2714,0.0003773,0.00041691,0.00031909,0.0003416,0.00046354,0.00024118,0.00026401,0.00029366,0.0003711,0.00034623,-0.0000396,0.00009782,-0.00002251,-0.00012194,0.00022236,-0.00002283,-0.00002965,-0.00010528,0.0000119,0.00001195
4/21/2020,27,3590,3487,3853,2949,3157,4284,2229,2440,0.00038845,0.0003773,0.00041691,0.00031909,0.0003416,0.00046354,0.00024118,0.00026401,0.00039422,0.00036401,0.00001114,-0.0000396,0.00009782,-0.00002251,-0.00012194,0.00022236,-0.00002283,-0.00002965,0.00002312,0.00001778
4/22/2020,28,3479,3590,3487,3853,2949,3157,4284,2229,0.00037644,0.00038845,0.0003773,0.00041691,0.00031909,0.0003416,0.00046354,0.00024118,0.00038073,0.00038333,-0.00001201,0.00001114,-0.0000396,0.00009782,-0.00002251,-0.00012194,0.00022236,-0.00002283,-0.00001349,0.00001932
4/23/2020,29,4161,3479,3590,3487,3853,2949,3157,4284,0.00045023,0.00037644,0.00038845,0.0003773,0.00041691,0.00031909,0.0003416,0.00046354,0.00040504,0.00038143,0.00007379,-0.00001201,0.00001114,-0.0000396,0.00009782,-0.00002251,-0.00012194,0.00022236,0.00002431,-0.0000019
4/24/2020,30,2171,4161,3479,3590,3487,3853,2949,3157,0.00023491,0.00045023,0.00037644,0.00038845,0.0003773,0.00041691,0.00031909,0.0003416,0.00035386,0.00036619,-0.00021532,0.00007379,-0.00001201,0.00001114,-0.0000396,0.00009782,-0.00002251,-0.00012194,-0.00005118,-0.00001524
4/25/2020,31,3322,2171,4161,3479,3590,3487,3853,2949,0.00035945,0.00023491,0.00045023,0.00037644,0.00038845,0.0003773,0.00041691,0.00031909,0.0003482,0.00037196,0.00012454,-0.00021532,0.00007379,-0.00001201,0.00001114,-0.0000396,0.00009782,-0.00002251,-0.00000566,0.00000577
4/26/2020,32,3483,3322,2171,4161,3479,3590,3487,3853,0.00037687,0.00035945,0.00023491,0.00045023,0.00037644,0.00038845,0.0003773,0.00041691,0.00032374,0.00036624,0.00001742,0.00012454,-0.00021532,0.00007379,-0.00001201,0.00001114,-0.0000396,0.00009782,-0.00002445,-0.00000572
4/27/2020,33,2139,3483,3322,2171,4161,3479,3590,3487,0.00023145,0.00037687,0.00035945,0.00023491,0.00045023,0.00037644,0.00038845,0.0003773,0.00032259,0.0003454,-0.00014542,0.00001742,0.00012454,-0.00021532,0.00007379,-0.00001201,0.00001114,-0.0000396,-0.00000115,-0.00002084
4/28/2020,34,2691,2139,3483,3322,2171,4161,3479,3590,0.00029117,0.00023145,0.00037687,0.00035945,0.00023491,0.00045023,0.00037644,0.00038845,0.00029983,0.0003315,0.00005973,-0.00014542,0.00001742,0.00012454,-0.00021532,0.00007379,-0.00001201,0.00001114,-0.00002276,-0.0000139
4/29/2020,35,2424,2691,2139,3483,3322,2171,4161,3479,0.00026228,0.00029117,0.00023145,0.00037687,0.00035945,0.00023491,0.00045023,0.00037644,0.00026163,0.00031519,-0.00002889,0.00005973,-0.00014542,0.00001742,0.00012454,-0.00021532,0.00007379,-0.00001201,-0.0000382,-0.00001631
4/30/2020,36,2423,2424,2691,2139,3483,3322,2171,4161,0.00026218,0.00026228,0.00029117,0.00023145,0.00037687,0.00035945,0.00023491,0.00045023,0.00027188,0.00028833,-0.00000011,-0.00002889,0.00005973,-0.00014542,0.00001742,0.00012454,-0.00021532,0.00007379,0.00001024,-0.00002687
5/1/2020,37,2551,2423,2424,2691,2139,3483,3322,2171,0.00027603,0.00026218,0.00026228,0.00029117,0.00023145,0.00037687,0.00035945,0.00023491,0.00026683,0.0002942,0.00001385,-0.00000011,-0.00002889,0.00005973,-0.00014542,0.00001742,0.00012454,-0.00021532,-0.00000505,0.00000587
5/2/2020,38,2525,2551,2423,2424,2691,2139,3483,3322,0.00027321,0.00027603,0.00026218,0.00026228,0.00029117,0.00023145,0.00037687,0.00035945,0.00027047,0.00028188,-0.00000281,0.00001385,-0.00000011,-0.00002889,0.00005973,-0.00014542,0.00001742,0.00012454,0.00000364,-0.00001232
5/3/2020,39,3692,2525,2551,2423,2424,2691,2139,3483,0.00039948,0.00027321,0.00027603,0.00026218,0.00026228,0.00029117,0.00023145,0.00037687,0.00031624,0.00028511,0.00012627,-0.00000281,0.00001385,-0.00000011,-0.00002889,0.00005973,-0.00014542,0.00001742,0.00004577,0.00000323
5/4/2020,40,1893,3692,2525,2551,2423,2424,2691,2139,0.00020483,0.00039948,0.00027321,0.00027603,0.00026218,0.00026228,0.00029117,0.00023145,0.00029251,0.00028131,-0.00019466,0.00012627,-0.00000281,0.00001385,-0.00000011,-0.00002889,0.00005973,-0.00014542,-0.00002373,-0.0000038
5/5/2020,41,2379,1893,3692,2525,2551,2423,2424,2691,0.00025741,0.00020483,0.00039948,0.00027321,0.00027603,0.00026218,0.00026228,0.00029117,0.00028724,0.00027649,0.00005259,-0.00019466,0.00012627,-0.00000281,0.00001385,-0.00000011,-0.00002889,0.00005973,-0.00000527,-0.00000482
5/6/2020,42,1377,2379,1893,3692,2525,2551,2423,2424,0.000149,0.00025741,0.00020483,0.00039948,0.00027321,0.00027603,0.00026218,0.00026228,0.00020375,0.00026031,-0.00010842,0.00005259,-0.00019466,0.00012627,-0.00000281,0.00001385,-0.00000011,-0.00002889,-0.0000835,-0.00001618
5/7/2020,43,2059,1377,2379,1893,3692,2525,2551,2423,0.00022279,0.000149,0.00025741,0.00020483,0.00039948,0.00027321,0.00027603,0.00026218,0.00020973,0.00025468,0.00007379,-0.00010842,0.00005259,-0.00019466,0.00012627,-0.00000281,0.00001385,-0.00000011,0.00000599,-0.00000563
5/8/2020,44,2101,2059,1377,2379,1893,3692,2525,2551,0.00022733,0.00022279,0.000149,0.00025741,0.00020483,0.00039948,0.00027321,0.00027603,0.00019971,0.00024772,0.00000454,0.00007379,-0.00010842,0.00005259,-0.00019466,0.00012627,-0.00000281,0.00001385,-0.00001003,-0.00000696
5/9/2020,45,1369,2101,2059,1377,2379,1893,3692,2525,0.00014813,0.00022733,0.00022279,0.000149,0.00025741,0.00020483,0.00039948,0.00027321,0.00019942,0.00022985,-0.0000792,0.00000454,0.00007379,-0.00010842,0.00005259,-0.00019466,0.00012627,-0.00000281,-0.00000029,-0.00001787
5/10/2020,46,1433,1369,2101,2059,1377,2379,1893,3692,0.00015505,0.00014813,0.00022733,0.00022279,0.000149,0.00025741,0.00020483,0.00039948,0.00017684,0.00019494,0.00000692,-0.0000792,0.00000454,0.00007379,-0.00010842,0.00005259,-0.00019466,0.00012627,-0.00002258,-0.00003492
5/11/2020,47,1126,1433,1369,2101,2059,1377,2379,1893,0.00012184,0.00015505,0.00014813,0.00022733,0.00022279,0.000149,0.00025741,0.00020483,0.00014167,0.00018308,-0.00003322,0.00000692,-0.0000792,0.00000454,0.00007379,-0.00010842,0.00005259,-0.00019466,-0.00003517,-0.00001186
5/12/2020,48,959,1126,1433,1369,2101,2059,1377,2379,0.00010377,0.00012184,0.00015505,0.00014813,0.00022733,0.00022279,0.000149,0.00025741,0.00012689,0.00016113,-0.00001807,-0.00003322,0.00000692,-0.0000792,0.00000454,0.00007379,-0.00010842,0.00005259,-0.00001479,-0.00002195
5/13/2020,49,798,959,1126,1433,1369,2101,2059,1377,0.00008635,0.00010377,0.00012184,0.00015505,0.00014813,0.00022733,0.00022279,0.000149,0.00010398,0.00015218,-0.00001742,-0.00001807,-0.00003322,0.00000692,-0.0000792,0.00000454,0.00007379,-0.00010842,-0.0000229,-0.00000895
5/14/2020,50,1180,798,959,1126,1433,1369,2101,2059,0.00012768,0.00008635,0.00010377,0.00012184,0.00015505,0.00014813,0.00022733,0.00022279,0.00010593,0.00013859,0.00004133,-0.00001742,-0.00001807,-0.00003322,0.00000692,-0.0000792,0.00000454,0.00007379,0.00000195,-0.00001359
5/15/2020,51,1477,1180,798,959,1126,1433,1369,2101,0.00015982,0.00012768,0.00008635,0.00010377,0.00012184,0.00015505,0.00014813,0.00022733,0.00012461,0.00012895,0.00003214,0.00004133,-0.00001742,-0.00001807,-0.00003322,0.00000692,-0.0000792,0.00000454,0.00001868,-0.00000965
5/16/2020,52,904,1477,1180,798,959,1126,1433,1369,0.00009782,0.00015982,0.00012768,0.00008635,0.00010377,0.00012184,0.00015505,0.00014813,0.00012844,0.00012176,-0.000062,0.00003214,0.00004133,-0.00001742,-0.00001807,-0.00003322,0.00000692,-0.0000792,0.00000382,-0.00000719
5/17/2020,53,1801,904,1477,1180,798,959,1126,1433,0.00019487,0.00009782,0.00015982,0.00012768,0.00008635,0.00010377,0.00012184,0.00015505,0.00015083,0.00012745,0.00009706,-0.000062,0.00003214,0.00004133,-0.00001742,-0.00001807,-0.00003322,0.00000692,0.0000224,0.00000569
5/18/2020,54,1879,1801,904,1477,1180,798,959,1126,0.00020331,0.00019487,0.00009782,0.00015982,0.00012768,0.00008635,0.00010377,0.00012184,0.00016533,0.00013909,0.00000844,0.00009706,-0.000062,0.00003214,0.00004133,-0.00001742,-0.00001807,-0.00003322,0.0000145,0.00001164
